store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
8419537941919820732,0,0,0,0,0,0
54515546588432327,17,0,1020,0,1020,0
8377465688456570187,16,0,960,0,960,0
5955337179846162144,9,0,540,0,540,0
1169347689335808384,16,0,960,0,960,0
3739729523266121270,18,0,1080,0,1080,0
4430370444829587327,13,0,780,0,780,0
1912555533282230523,36,0,2160,0,2160,0
5489547402882838709,17,0,1020,0,1020,0
759601765366096871,14,0,840,0,840,0
5627904252074297008,21,0,1260,0,1260,0
2651685499613063745,20,0,1200,0,1200,0
5043046815492880667,16,0,960,0,960,0
2367299134091594697,10,0,600,0,600,0
6613902849003357359,13,0,780,0,780,0
1396650693591399695,17,0,1020,0,1020,0
837699569013981799,6,0,360,0,360,0
2057963137235512954,0,0,0,0,0,0
6108568838704593560,14,0,840,0,840,0
7815590034868021689,0,0,0,0,0,0
7493928216510270665,0,0,0,0,0,0
7961038966240415760,14,0,840,0,840,0
605803287923472894,35,0,2100,0,2100,0
5278384915350904550,16,0,960,0,960,0
8494749731668571682,17,0,1020,0,1020,0
4858828967449392712,12,0,720,0,720,0
7555752115160416405,15,0,900,0,900,0
8625022238145771938,20,0,1200,0,1200,0
4159147177864939740,11,0,660,0,660,0
8157355919956132858,30,0,1800,0,1800,0
3595154674145356045,22,0,1320,0,1320,0
5693932324957995427,27,0,1620,0,1620,0
8631502755712457479,12,0,720,0,720,0
7369215549436595643,18,0,1080,0,1080,0
5733393565264082443,14,0,840,0,840,0
4681743429609749121,23,0,1380,0,1380,0
2567728765809290933,24,0,1440,0,1440,0
284239040495575980,17,0,1020,0,1020,0
6656463669299127947,0,0,0,0,0,0
9184109988854973601,30,0,1800,0,1800,0
6031574077635056029,16,0,960,0,960,0
9111813718630350474,12,0,720,0,720,0
8750493480383302874,2,0,120,0,120,0
3048405945625600463,15,0,900,0,900,0
3983786718839842887,0,0,0,0,0,0
5047154360023757128,0,0,0,0,0,0
7933946190613920010,15,0,900,0,900,0
379226339704530410,15,0,900,0,900,0
1253356761818562621,12,0,720,0,720,0
4755926456158904833,29,0,1740,0,1740,0
8803894796084290585,17,0,1020,0,1020,0
6836033035108373086,6,0,360,0,360,0
2639750514662973687,19,0,1140,0,1140,0
1040732551176103056,19,0,1140,0,1140,0
8304911926566338483,20,0,1200,0,1200,0
3361278033591045661,14,0,840,0,840,0
2601623541509400542,14,0,840,0,840,0
8207758013351082541,14,0,840,0,840,0
4249300502744464539,12,0,720,0,720,0
881974164067848799,18,0,1080,0,1080,0
4031771205466256346,22,0,1320,0,1320,0
8117247589549708019,34,0,2040,0,2040,0
5223121655148958959,13,0,780,0,780,0
5281145666427062582,17,0,1020,0,1020,0
7103249743888768279,18,0,1080,0,1080,0
6937872202603482963,15,0,900,0,900,0
4359897525988670130,16,0,960,0,960,0
8668949117244880140,19,0,1140,0,1140,0
329697652999698776,16,0,960,0,960,0
2873839205725435068,17,0,1020,0,1020,0
1634983772484395625,0,0,0,0,0,0
8754037299794781932,23,0,1380,0,1380,0
8478659457975884995,26,0,1560,0,1560,0
3173528025538718452,27,0,1620,0,1620,0
1172776965412058288,0,0,0,0,0,0
8050904836920798206,18,0,1080,0,1080,0
3485383537492459194,17,0,1020,0,1020,0
7791569942019889767,13,0,780,0,780,0
7647796266115725856,19,0,1140,0,1140,0
7372385631979013974,12,0,720,0,720,0
1886094822273762805,14,0,840,0,840,0
1921227243936268124,15,0,900,0,900,0
2670800031826856367,10,0,600,0,600,0
2529970021684233025,21,0,1260,0,1260,0
3390153829311738919,26,0,1560,0,1560,0
2723172216807087715,17,0,1020,0,1020,0
3457174951287490032,15,0,900,0,900,0
1557691556894768738,16,0,960,0,960,0
4395688375231610603,40,0,2400,0,2400,0
3480535111316179789,17,0,1020,0,1020,0
8080175208160124283,17,0,1020,0,1020,0
4894791864539115200,16,0,960,0,960,0
6529727365761998945,34,0,2040,0,2040,0
2937297056410899541,14,0,840,0,840,0
7257064183173214729,16,0,960,0,960,0
3151529852031249810,20,0,1200,0,1200,0
8258804424046746943,18,0,1080,0,1080,0
6614523831540505463,12,0,720,0,720,0
1826435698432426239,0,0,0,0,0,0
4333246355539626670,0,0,0,0,0,0
4644728874609587438,14,0,840,0,840,0
646862635677872649,21,0,1260,0,1260,0
3762462515785465924,26,0,1560,0,1560,0
7150774588280614833,0,0,0,0,0,0
8345736932152836262,31,0,1860,0,1860,0
6807898943856172607,4,0,240,0,240,0
1666841521765803410,13,0,780,0,780,0
333363422900954809,17,0,1020,0,1020,0
8957614279107724771,19,0,1140,0,1140,0
5945586020471081479,17,0,1020,0,1020,0
6472421132249756772,19,0,1140,0,1140,0
7761606104561337031,18,0,1080,0,1080,0
838975604215828311,33,0,1980,0,1980,0
3266261351669573692,33,0,1980,0,1980,0
2795813457317920490,5,0,300,0,300,0
4605930245483207319,12,0,720,0,720,0
2962311335535390960,15,0,900,0,900,0
